transaction_date,product_name,category,quantity,unit_price,cost_price,customer_name,region
2024-01-23,Wireless Mouse Vertical,Accessories,11,45.00,22.00,Comfort Plus,North
2024-01-23,HDMI Cable 10ft,Accessories,24,15.00,6.00,Cable Connect,East
2024-01-24,Laptop Pro 15,Electronics,3,1200.00,750.00,Tech Enterprises,West
2024-01-24,Drawing Tablet,Electronics,2,250.00,130.00,Design Studio,South
2024-01-25,Bluetooth Keyboard,Accessories,7,68.00,34.00,Wireless World,North
2024-01-25,27" Monitor,Electronics,2,350.00,215.00,Display World,East
2024-01-26,USB Microphone,Electronics,4,85.00,43.00,Audio Plus,West
2024-01-26,Laptop Bag Professional,Accessories,10,65.00,32.00,Travel Gear,South
2024-01-27,Smart Pen Digital,Electronics,6,95.00,48.00,Note Tech,North
2024-01-27,Cable Management Box,Accessories,15,22.00,10.00,Tidy Tech,East
2024-01-28,Laptop Pro 15,Electronics,2,1200.00,750.00,Business Solutions,West
2024-01-28,Monitor Light Bar,Electronics,8,75.00,38.00,Bright Light,South
2024-01-29,Trackball Mouse,Accessories,5,65.00,32.00,Precision Point,North
2024-01-29,Laptop Privacy Screen,Accessories,12,38.00,19.00,Security Plus,East
2024-01-30,27" Monitor,Electronics,4,350.00,215.00,Display World,West
2024-01-30,Presentation Remote,Accessories,9,45.00,22.00,Presentation Pro,South
2024-01-31,Laptop Pro 15,Electronics,5,1200.00,750.00,Enterprise Tech,North
2024-01-31,Wireless Charging Stand,Electronics,13,42.00,21.00,Power Tech,East
2024-02-01,Ergonomic Keyboard,Accessories,6,95.00,47.00,Comfort Plus,West
2024-02-01,USB-C Adapter Set,Accessories,20,25.00,12.00,Port Solutions,South
2024-02-02,27" Monitor,Electronics,3,350.00,215.00,Display World,North
2024-02-02,Laptop Cooling Stand,Accessories,11,48.00,24.00,Cool Systems,East
2024-02-03,Portable Monitor 15.6",Electronics,4,220.00,115.00,Mobile Display,West
2024-02-03,Laptop Pro 15,Electronics,2,1200.00,750.00,Tech Corp,South
